monthly_income,house_rent,emi,electricity,mobile,internet,card,others_bill,taxes,groceries,health,pub_tran,pri_tran,others
131958,7837,24371,995,544,315,14060,1867,15834.96,13418,476,491,4111,8364
156867,19159,33053,4141,396,169,7120,547,18824.04,8913,9201,1160,3821,357
141932,41266,11957,824,440,700,20394,1429,17031.84,3560,4891,1259,3345,6138
375838,102413,72644,5443,397,31,18773,372,75167.6,5777,4760,1026,220,3718
269178,51012,53616,5744,762,52,18214,1187,53835.6,9856,7739,22,3352,2648
129879,21560,14990,546,748,939,6540,556,15585.48,14483,10573,140,2610,5079
120268,17106,17829,4226,598,138,5545,655,14432.16,9019,3526,1061,4913,680
217892,58123,5837,3401,233,373,29740,522,43578.4,3320,14034,1185,3732,8124
64886,13521,14989,2396,922,46,4829,834,3893.16,11947,14233,221,574,9407
147337,8720,15032,2262,370,89,8054,1377,17680.44,17197,3134,742,2586,2738
485602,58655,99770,3259,815,827,29712,1432,97120.4,14055,10512,1433,4249,4628
440410,93448,26352,2527,200,35,41555,510,88082,15135,3558,1951,1298,5226
97498,14606,23551,1693,699,996,8382,857,5849.88,14768,12134,19,3296,6585
384871,42907,74642,2207,920,955,3462,962,76974.2,6692,12658,1581,57,6223
398468,50071,41247,2323,336,928,57987,211,79693.6,5810,7929,1125,4858,8936
185203,54971,28766,5133,674,224,15856,926,22224.36,2826,12734,1846,2287,9134
201335,34812,43048,2778,372,553,22302,624,40267,10481,8745,904,1523,711
288167,49570,66714,5832,614,739,12381,1984,57633.4,9676,12183,1510,2446,6754
51090,1749,2551,4759,568,268,1118,1881,3065.4,10845,14576,1330,4076,2925
339365,60186,16025,1281,236,909,20151,344,67873,5130,2359,1080,4545,9861
74820,17483,9780,5698,408,185,9859,1034,4489.2,3080,2963,1871,3280,9444
272913,65171,22706,3523,330,370,17489,335,54582.6,5108,14392,1964,2478,7835
331879,36160,42916,526,460,868,45395,1363,66375.8,10658,12948,677,2093,5801
204027,19156,9967,1566,322,234,2855,1897,40805.4,16036,12395,1859,2031,7603
337069,76208,30856,2357,471,121,6503,1907,67413.8,5534,3476,1163,1738,6853
262709,72320,9179,5811,856,423,14324,1701,52541.8,17696,6409,1497,1094,8103
209041,17929,38623,2551,489,832,18543,1281,41808.2,4027,13880,116,4663,8887
277455,66606,17587,3241,645,388,37166,53,55491,13607,12246,1161,2179,8397
113355,22906,23733,456,394,925,14129,604,13602.6,12159,660,1999,857,9826
245796,62559,60674,2373,654,116,20530,1798,49159.2,4660,8937,320,4980,9093
224176,54205,22770,4363,478,465,25381,1968,44835.2,16651,5793,267,2895,4863
194779,45158,33887,1060,345,428,6024,295,23373.48,17735,5005,435,1605,2208
357449,68475,3975,1073,211,868,41660,1580,71489.8,16299,14492,765,1568,5258
431909,64341,78455,1852,174,441,36559,1973,86381.8,19638,4339,1074,3854,1946
475148,95377,75138,1257,713,38,42760,1240,95029.6,8767,14276,981,2835,925
268795,42863,45463,553,711,907,18291,700,53759,14327,8040,319,3531,685
496232,65439,99596,1869,527,161,33904,387,99246.4,17551,1558,1720,2942,667
402752,7194,42154,3518,444,620,20515,1130,80550.4,2355,11818,1628,4183,2408
166730,5851,10140,4513,201,525,622,1825,20007.6,4739,5667,1554,4192,671
356622,81914,86706,3536,993,165,7245,1496,71324.4,11807,11853,1693,4845,1035
394681,66214,28830,4945,189,911,52048,1031,78936.2,16390,3756,731,523,6388
159503,30640,6590,5306,893,873,22043,1567,19140.36,5930,14319,1748,2318,8443
140523,33756,30609,5265,721,444,15295,1937,16862.76,6766,9677,1361,4795,374
12747,0,1017,1107,877,442,44,1191,0,7258,12562,744,4679,3050
133855,26183,27729,5216,606,330,4968,1354,16062.6,14517,9941,23,4122,9301
462366,87201,103480,2081,858,992,64439,1975,92473.2,14354,8348,1305,3172,1679
75725,16198,12399,1521,937,334,5423,36,4543.5,8257,14402,1059,692,1790
139981,21411,28645,5997,151,111,1415,1254,16797.72,8103,12955,874,3066,582
94654,17809,22560,3963,618,745,6797,182,5679.24,11874,8396,823,550,4787
438989,15867,6647,3500,255,713,4158,291,87797.8,9188,14836,719,2322,4195
391490,62501,21106,1179,365,834,24122,1781,78298,11711,1410,825,4724,897
77435,14266,6015,5388,926,138,8394,1545,4646.1,6310,13712,1523,13,7880
329030,39422,21506,300,828,778,29852,69,65806,4537,11941,543,3398,9451
338947,35208,24067,466,908,783,48678,236,67789.4,10531,14001,257,1953,2909
41551,10234,2089,2363,563,165,1124,463,2493.06,10303,11762,1992,2775,9371
388360,31213,2056,3004,359,413,58238,1141,77672,6181,10925,1361,1660,2237
283538,7367,29328,411,207,168,21672,1752,56707.6,2483,9340,176,4888,9884
341236,79026,77712,3739,192,768,18834,190,68247.2,14761,6594,1520,1448,6910
13890,0,1811,1425,287,123,1164,929,0,17435,13154,1453,3889,377
51606,4689,4885,2941,770,549,6490,1886,3096.36,9527,7743,1516,4206,8728
499492,51588,46515,1729,638,881,41746,1529,99898.4,15635,4364,594,3662,7004
266840,38285,64538,2343,709,760,9167,1527,53368,18551,8383,889,322,4566
483254,126683,68650,4902,787,748,70465,1774,96650.8,9450,5568,1846,867,4809
359457,74755,78978,1934,618,97,4288,1863,71891.4,5291,431,1765,870,5160
151699,6310,1629,970,875,59,19330,400,18203.88,15583,3734,267,216,8950
280936,36307,28155,3411,789,18,10391,1914,56187.2,3735,1846,716,512,2676
249931,19867,54921,1990,538,123,28453,316,49986.2,14654,10768,446,1963,480
249629,56523,18288,4257,347,225,14263,717,49925.8,9280,14390,674,1647,1469
215041,18625,50588,1264,351,954,27855,221,43008.2,11740,992,239,610,7803
184073,6378,21415,580,341,611,19420,657,22088.76,8093,5455,116,1678,8552
217624,19149,36085,4746,256,323,24100,1212,43524.8,19230,10005,1609,4837,9860
427113,107669,11251,2266,855,905,36843,1773,85422.6,18059,2990,1429,899,4163
78148,11422,4116,3108,476,16,5507,291,4688.88,13144,5062,265,2987,8612
262801,27926,25574,5943,899,759,24108,948,52560.2,17284,10087,1329,2633,125
134243,37679,9623,5702,793,79,3667,222,16109.16,2887,6822,1442,3016,7491
261995,13180,20936,2264,506,596,13742,757,52399,11503,13572,655,1211,2776
392318,92837,54715,5123,744,859,8796,758,78463.6,5126,8478,803,3629,4877
164555,36931,6123,3690,650,455,18920,1440,19746.6,13506,2227,1596,794,4570
396502,24014,3061,1122,433,540,33433,1430,79300.4,6264,7880,586,1898,3262
58555,16471,8089,1737,617,645,2917,1983,3513.3,3817,13670,1040,2075,2503
266508,79872,39095,2361,657,989,1232,37,53301.6,5180,2646,1880,106,479
289303,58502,59618,5475,883,705,11979,1476,57860.6,8179,7089,1920,4703,8436
382654,87736,28451,4165,255,630,24311,1230,76530.8,5936,5901,11,4022,4778
116530,5470,16361,4594,443,377,8543,925,13983.6,15651,1623,514,3640,7638
90077,14953,15907,5073,215,878,9953,399,5404.62,17490,14997,882,635,7323
308064,38507,34814,4336,344,190,19279,1973,61612.8,8202,6707,584,762,7757
495283,92969,117832,1764,337,926,30767,1210,99056.6,11954,280,82,4634,9417
470337,91493,85141,377,196,664,56565,1383,94067.4,5896,11153,1682,713,3058
210551,6523,32256,2459,511,854,22558,1627,42110.2,12797,10532,382,122,8695
492691,31169,76868,4930,686,490,61110,1029,98538.2,7487,11313,625,4667,9305
291601,45641,37832,5794,727,404,20954,1156,58320.2,10535,8463,83,1354,1779
469773,29661,95012,3487,636,271,59868,997,93954.6,8065,1280,1610,71,638
